"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","sp|D6VTK4|STE2_YEAST","C2-C1",0.0784157486388347,0.0964361809157298,0.813136189075735,8,0.439667060773757,0.99885423695967,NA,0,0
"2","sp|O13297|CET1_YEAST","C2-C1",-0.111243250185282,0.0775667203790643,-1.43416209479585,8,0.189434659348866,0.99885423695967,NA,0,0
"3","sp|O13329|FOB1_YEAST","C2-C1",-0.162140136047394,0.291007958811688,-0.557167359647078,8,0.592655142942837,0.99885423695967,NA,0,0
"4","sp|O13539|THP2_YEAST","C2-C1",-0.437466957930381,0.828866489644134,-0.52778941288627,8,0.611966568826577,0.99885423695967,NA,0,0
"5","sp|O13547|CCW14_YEAST","C2-C1",-0.057793624489298,0.146686737347792,-0.393993523438117,8,0.703879458676173,0.99885423695967,NA,0,0
"6","sp|O13563|RPN13_YEAST","C2-C1",-0.169497760935849,0.09537563328982,-1.77716000501714,8,0.11344086712513,0.99885423695967,NA,0,0
"7","sp|O13585|YP089_YEAST","C2-C1",-0.165309892825764,0.114679763791381,-1.44149139621953,8,0.187419755818917,0.99885423695967,NA,0,0
"8","sp|O14455|RL36B_YEAST","C2-C1",-0.00116011200393757,0.224461352281497,-0.00516842651149437,8,0.996002769076784,0.99885423695967,NA,0,0
"9","sp|O14467|MBF1_YEAST","C2-C1",0.0870795318995095,0.175490495067901,0.496206543071275,8,0.633093181489122,0.99885423695967,NA,0.0128205128205128,0.0128205128205128
"10","sp|O14468|YO304_YEAST","C2-C1",-0.62393113456895,0.478646737411498,-1.30353157308278,8,0.228653107889092,0.99885423695967,NA,0.111111111111111,0.111111111111111
"11","sp|O43137|YB085_YEAST","C2-C1",-0.107464798783917,0.275393227020917,-0.390223100061042,8,0.706556098277105,0.99885423695967,NA,0,0
"12","sp|O60200|MDM35_YEAST","C2-C1",1.51931840938906,1.35722043346384,1.11943378682527,8,0.295436439078253,0.99885423695967,NA,0,0
"13","sp|O74700|TIM9_YEAST","C2-C1",-0.0430823566812914,0.131626654519716,-0.327307237568956,8,0.751835924576607,0.99885423695967,NA,0,0
"14","sp|P00128|QCR7_YEAST","C2-C1",0.0234284333207515,0.0453323028130839,0.516815424474523,8,0.619265086708052,0.99885423695967,NA,0,0
"15","sp|P00330|ADH1_YEAST","C2-C1",0.0642344494120731,0.0583099708039485,1.10160318255079,8,0.302670476484431,0.99885423695967,NA,0,0.02
"16","sp|P00358|G3P2_YEAST","C2-C1",0.402434658195102,0.396466263163089,1.01505397958554,8,0.339792228952173,0.99885423695967,NA,0,0
"17","sp|P00359|G3P3_YEAST","C2-C1",0.228855804295144,0.263045477717143,0.870023717120262,8,0.409632024438884,0.99885423695967,NA,0.0303030303030303,0.0303030303030303
"18","sp|P00360|G3P1_YEAST","C2-C1",0.0180774679730358,0.0570949025796377,0.316621399744413,8,0.759635104132284,0.99885423695967,NA,0,0
"19","sp|P00410|COX2_YEAST","C2-C1",-0.345661651836823,0.368563362699937,-0.937862215345156,8,0.375761878809094,0.99885423695967,NA,0,0
"20","sp|P00425|COX5B_YEAST","C2-C1",-0.0372595232721716,0.098863024348277,-0.376880269623483,8,0.716062946486313,0.99885423695967,NA,0,0
"21","sp|P00427|COX6_YEAST","C2-C1",0.0487441902671852,0.110388466220454,0.441569594506724,8,0.670492505773957,0.99885423695967,NA,0,0
"22","sp|P00431|CCPR_YEAST","C2-C1",-0.0150547798332234,0.0783267184826176,-0.192204909446888,8,0.85237097889225,0.99885423695967,NA,0.0158730158730159,0.0238095238095238
"23","sp|P00445|SODC_YEAST","C2-C1",0.0173948846613791,0.123955030628521,0.140332220267119,8,0.891866466831819,0.99885423695967,NA,0,0
"24","sp|P00447|SODM_YEAST","C2-C1",-0.00792477893838322,0.0583180392021913,-0.135888981296296,8,0.895266226084223,0.99885423695967,NA,0,0
"25","sp|P00498|HIS1_YEAST","C2-C1",0.0330537817885262,0.0798728037684156,0.413830242949312,8,0.689870270000072,0.99885423695967,NA,0,0
"26","sp|P00546|CDK1_YEAST","C2-C1",-0.115920973765156,0.0771528926315221,-1.50248383192562,8,0.171374564502627,0.99885423695967,NA,0,0
"27","sp|P00549|KPYK1_YEAST","C2-C1",0.0247945220580479,0.0381934732738387,0.649182175191993,8,0.534410125512756,0.99885423695967,NA,0.00241545893719808,0.00241545893719807
"28","sp|P00560|PGK_YEAST","C2-C1",0.0557228836199737,0.061586054254802,0.904797105354884,8,0.392005718970892,0.99885423695967,NA,0,0
"29","sp|P00572|KTHY_YEAST","C2-C1",-0.212761850515933,0.178673681498385,-1.19078450016634,8,0.267869151880796,0.99885423695967,NA,0,0
"30","sp|P00635|PPA5_YEAST","C2-C1",-0.143999188176072,0.0664351355233615,-2.16751553288298,8,0.0620583436397268,0.99885423695967,NA,0,0
"31","sp|P00724|INV2_YEAST","C2-C1",0.0223002281405392,0.0447761068890242,0.498038567663094,8,0.63185758608438,0.99885423695967,NA,0,0
"32","sp|P00729|CBPY_YEAST","C2-C1",-0.0253001152493095,0.0564445442417585,-0.448229595777162,8,0.665878146537122,0.99885423695967,NA,0,0
"33","sp|P00761|TRYP_PIG","C2-C1",0.124609458050104,0.0731698864604814,1.70301559942155,8,0.12697192303632,0.99885423695967,NA,0,0
"34","sp|P00812|ARGI_YEAST","C2-C1",-0.186946014284849,0.107582813913368,-1.73769403759405,8,0.120465790691558,0.99885423695967,NA,0,0
"35","sp|P00815|HIS2_YEAST","C2-C1",0.018401306662049,0.0324601019689548,0.56688998326771,8,0.586338238163074,0.99885423695967,NA,0.00340136054421769,0.00340136054421769
"36","sp|P00817|IPYR_YEAST","C2-C1",0.0499592700925326,0.0441765624929062,1.13089989970485,8,0.290858078814568,0.99885423695967,NA,0,0
"37","sp|P00830|ATPB_YEAST","C2-C1",0.011373465441176,0.0406360297338832,0.279886236811482,8,0.786665358226748,0.99885423695967,NA,0.0231481481481481,0.0231481481481481
"38","sp|P00890|CISY1_YEAST","C2-C1",0.0209996654340151,0.0372506013368704,0.563740307011629,8,0.588380527261082,0.99885423695967,NA,0,0
"39","sp|P00899|TRPE_YEAST","C2-C1",-0.00293011159871651,0.0578436038004852,-0.0506557580475637,8,0.960841775050907,0.99885423695967,NA,0,0
"40","sp|P00924|ENO1_YEAST","C2-C1",0.0742743717524777,0.0168807717334137,4.39993934669819,8,0.00228694068506652,0.58862081419494,NA,0.0256410256410257,0.0448717948717949
"41","sp|P00925|ENO2_YEAST","C2-C1",0.0829775086410401,0.0547132875193879,1.51658787843148,8,0.167843263784943,0.99885423695967,NA,0.0033333333333333,0.00666666666666667
"42","sp|P00927|THDH_YEAST","C2-C1",0.00592230591166692,0.0596025762682321,0.0993632537797444,8,0.923294624610054,0.99885423695967,NA,0.00490196078431371,0.0294117647058824
"43","sp|P00931|TRP_YEAST","C2-C1",-0.0154710709522883,0.0260104655800062,-0.594801769491608,8,0.568413469471779,0.99885423695967,NA,0,0
"44","sp|P00937|TRPG_YEAST","C2-C1",-0.0213843883520549,0.0882387542776682,-0.242346897654095,8,0.814608695790952,0.99885423695967,NA,0,0
"45","sp|P00942|TPIS_YEAST","C2-C1",0.0650930499717481,0.0838205289542245,0.776576463831387,8,0.459751080121774,0.99885423695967,NA,0.0158730158730159,0.0158730158730159
"46","sp|P00950|PMG1_YEAST","C2-C1",0.0454233402996551,0.0469404919930447,0.967679254541806,8,0.361544695611041,0.99885423695967,NA,0.0277777777777778,0.0208333333333333
"47","sp|P00958|SYMC_YEAST","C2-C1",-0.0322219833473684,0.036601830322303,-0.880338034017226,8,0.404345687595751,0.99885423695967,NA,0,0.00347222222222222
"48","sp|P01094|IPA3_YEAST","C2-C1",0.105972140472572,0.800865858002214,0.132321960555195,8,0.897997215335899,0.99885423695967,NA,0,0
"49","sp|P01097|ATIF_YEAST","C2-C1",-0.406810915364037,0.250257188381888,-1.62557134919637,8,0.142694199827824,0.99885423695967,NA,0,0
"50","sp|P01119|RAS1_YEAST","C2-C1",-0.232564358312717,0.142239515450473,-1.63501933746178,8,0.140684486328826,0.99885423695967,NA,0,0
"51","sp|P01120|RAS2_YEAST","C2-C1",-0.0570866599690339,0.108674670515945,-0.525298670775894,8,0.61361910012468,0.99885423695967,NA,0,0
"52","sp|P01123|YPT1_YEAST","C2-C1",-0.202768997015377,0.135382993380436,-1.49774349017075,8,0.172576263665364,0.99885423695967,NA,0.0208333333333334,0.03125
"53","sp|P02309|H4_YEAST","C2-C1",0.00860092666700008,0.0692566147172071,0.12418924462479,8,0.904229151909943,0.99885423695967,NA,0,0
"54","sp|P02381|RMAR_YEAST","C2-C1",-0.144127901535304,0.190916097676761,-0.75492796725463,8,0.471929441990569,0.99885423695967,NA,0,0
"55","sp|P02400|RLA4_YEAST","C2-C1",0.0920922921577017,0.136586025709755,0.674243881679359,8,0.519160222907951,0.99885423695967,NA,0,0
"56","sp|P02406|RL28_YEAST","C2-C1",-0.103903200606766,0.0599565312045928,-1.732975516082,8,0.12133240434959,0.99885423695967,NA,0,0
"57","sp|P02557|TBB_YEAST","C2-C1",0.0161089187158173,0.0256429569454672,0.628200513305655,8,0.547383226747191,0.99885423695967,NA,0.00617283950617287,0.00617283950617284
"58","sp|P02829|HSP82_YEAST","C2-C1",-0.0666576064499567,0.107033616521228,-0.622772626175224,8,0.550769503297721,0.99885423695967,NA,0,0
"59","sp|P02992|EFTU_YEAST","C2-C1",-0.030543611881768,0.044542244701275,-0.685722331386987,8,0.512266170730084,0.99885423695967,NA,0.00595238095238093,0.0119047619047619
"60","sp|P02994|EF1A_YEAST","C2-C1",0.0627958605865505,0.0520066499077702,1.20745829039006,8,0.26173989186382,0.99885423695967,NA,0,0
"61","sp|P03871|REP1_YEAST","C2-C1",-0.0954441971038783,0.10512948108006,-0.907872807164284,8,0.390473489239488,0.99885423695967,NA,0,0
"62","sp|P03872|REP2_YEAST","C2-C1",-0.00792751108869685,0.0979970203798176,-0.0808954298607381,8,0.937512296768516,0.99885423695967,NA,0,0
"63","sp|P03874|CBP2_YEAST","C2-C1",0.07457179569456,0.127779583999865,0.583597108084489,8,0.575571310314375,0.99885423695967,NA,0,0
"64","sp|P03965|CARB_YEAST","C2-C1",0.0201184391685154,0.0390614325044752,0.515046117835297,8,0.620446054729106,0.99885423695967,NA,0,0
"65","sp|P04037|COX4_YEAST","C2-C1",-0.0261792898674212,0.114022600769499,-0.229597375351433,8,0.824166062881986,0.99885423695967,NA,0,0
"66","sp|P04046|PUR1_YEAST","C2-C1",0.0542130163604326,0.0592764643458599,0.914579115989717,8,0.387147699610252,0.99885423695967,NA,0,0
"67","sp|P04050|RPB1_YEAST","C2-C1",0.000796097691507826,0.0511380784839694,0.0155676105772606,8,0.987960587539198,0.99885423695967,NA,0,0
"68","sp|P04051|RPC1_YEAST","C2-C1",-0.0631861948899349,0.046528440073057,-1.35801232086703,8,0.211518117525223,0.99885423695967,NA,0.00641025641025639,0.00641025641025641
"69","sp|P04076|ARLY_YEAST","C2-C1",-0.0338127106167515,0.0622481820792312,-0.543191937295675,8,0.601800152297769,0.99885423695967,NA,0.0151515151515151,0.0151515151515152
"70","sp|P04147|PABP_YEAST","C2-C1",-0.0653586654868891,0.0622610568046274,-1.04975194513614,8,0.324506761864766,0.99885423695967,NA,0.00314465408805031,0.00314465408805031
"71","sp|P04161|PUR3_YEAST","C2-C1",-0.0848632469746928,0.157880826834376,-0.537514584109179,8,0.605536876453942,0.99885423695967,NA,0,0
"72","sp|P04456|RL25_YEAST","C2-C1",-0.0254050403748809,0.0772942783098716,-0.328679443425715,8,0.750836576587876,0.99885423695967,NA,0,0
"73","sp|P04650|RL39_YEAST","C2-C1",0.18064270482779,0.109687875456414,1.64687942104933,8,0.138198472071982,0.99885423695967,NA,0,0
"74","sp|P04710|ADT1_YEAST","C2-C1",-0.0971187619766292,0.0392829424918462,-2.4722883729188,8,0.0385725896790925,0.99885423695967,NA,0,0
"75","sp|P04786|TOP1_YEAST","C2-C1",-0.155351723080528,0.0758022176527922,-2.04943506787767,8,0.0745735560855103,0.99885423695967,NA,0,0
"76","sp|P04801|SYTC_YEAST","C2-C1",0.00173622364897888,0.051087935442612,0.0339850031898277,8,0.973721755740897,0.99885423695967,NA,0.00303030303030305,0
"77","sp|P04802|SYDC_YEAST","C2-C1",-0.0290724465542018,0.0328901260931632,-0.883926272336335,8,0.402518116819039,0.99885423695967,NA,0,0
"78","sp|P04803|SYWM_YEAST","C2-C1",-0.0968121190975823,0.881091748924462,-0.109877455118334,8,0.915212880268227,0.99885423695967,NA,0.0555555555555556,0.0555555555555556
"79","sp|P04806|HXKA_YEAST","C2-C1",0.0059090531777039,0.0991416906866525,0.0596021021709229,8,0.953934531989922,0.99885423695967,NA,0.00427350427350426,0.00427350427350427
"80","sp|P04807|HXKB_YEAST","C2-C1",0.0590470276533308,0.0478538051545491,1.23390454453166,8,0.252256363475054,0.99885423695967,NA,0.00314465408805031,0.00314465408805031
"81","sp|P04819|DNLI1_YEAST","C2-C1",0.150950525258516,0.0544577020313742,2.7718856952787,8,0.0242260594321828,0.99885423695967,NA,0.0208333333333334,0.0208333333333333
"82","sp|P04821|CDC25_YEAST","C2-C1",0.0346688795104617,0.102754290366668,0.3373959314667,8,0.744500299758921,0.99885423695967,NA,0,0
"83","sp|P04840|VDAC1_YEAST","C2-C1",-0.00167736985816921,0.0615275318474919,-0.0272621021484642,8,0.978918481336167,0.99885423695967,NA,0,0
"84","sp|P05030|PMA1_YEAST","C2-C1",-0.00600715938503757,0.147208248090589,-0.0408072201317205,8,0.968449626534357,0.99885423695967,NA,0,0
"85","sp|P05066|PHR_YEAST","C2-C1",3.50871246284649,0.697984977639889,5.02691687536108,8,0.0010180656747627,0.342409421945189,NA,0,0
"86","sp|P05317|RLA0_YEAST","C2-C1",-0.00105917711215646,0.0483258323997893,-0.0219174106178683,8,0.983050644157438,0.99885423695967,NA,0.00877192982456143,0.0087719298245614
"87","sp|P05319|RLA2_YEAST","C2-C1",0.0411148900330281,0.140256686143179,0.293140321246835,8,0.776875011744206,0.99885423695967,NA,0,0
"88","sp|P05373|HEM2_YEAST","C2-C1",-0.0101628558337432,0.0496266945810158,-0.204786071680682,8,0.842853558385689,0.99885423695967,NA,0,0
"89","sp|P05374|CHO2_YEAST","C2-C1",0.00164833492692015,0.0519017570768527,0.0317587499875853,8,0.975442489073937,0.99885423695967,NA,0,0
"90","sp|P05375|PEM2_YEAST","C2-C1",-0.156437717843088,0.247874978331738,-0.631115407032829,8,0.545569818769839,0.99885423695967,NA,0,0
"91","sp|P05453|ERF3_YEAST","C2-C1",-0.013762591868697,0.0475588313554538,-0.289380362730859,8,0.779648147751707,0.99885423695967,NA,0,0
"92","sp|P05626|ATPF_YEAST","C2-C1",0.0682261822970621,0.0767574493328884,0.888854214021271,8,0.400017871382019,0.99885423695967,NA,0,0
"93","sp|P05694|METE_YEAST","C2-C1",0.0183054266441878,0.042935480680362,0.426347308895051,8,0.681094994476687,0.99885423695967,NA,0,0.00320512820512821
"94","sp|P05738|RL9A_YEAST","C2-C1",-0.0145946899043506,0.165344177804371,-0.0882685444274816,8,0.931832849733565,0.99885423695967,NA,0,0
"95","sp|P05739|RL6B_YEAST","C2-C1",0.031769424160666,0.0709728884686051,0.44762760606424,8,0.666294615080866,0.99885423695967,NA,0,0
"96","sp|P05745|RL36A_YEAST","C2-C1",-0.38865742424174,0.300029669251399,-1.29539663597762,8,0.231310693159633,0.99885423695967,NA,0,0
"97","sp|P05748|RL15A_YEAST","C2-C1",-0.0368099249536894,0.150076286927292,-0.245274757973743,8,0.812418487577226,0.99885423695967,NA,0,0
"98","sp|P05749|RL22A_YEAST","C2-C1",0.245015996986572,0.269240397003461,0.910026874545956,8,0.389402986918933,0.99885423695967,NA,0,0
